anio,elec,partido,nomcandi,nomdepto,votos,censo
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,ARCHIPIELAGODESANANDRES,630,19695
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,ATLANTICO,22488,226690
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,BOGOTA,75211,35871
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,BOLIVAR,11525,307215
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,BOYACA,22381,505266
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,CALDAS,20021,228691
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,CAQUETA,4155,128047
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,CASANARE,2067,112088
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,CAUCA,33497,265829
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,CESAR,8744,235745
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,CHOCO,5615,99267
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,CONSULADOS,877,94484
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,CORDOBA,66761,281242
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,CUNDINAMARCA,26645,763215
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,GUAINIA,253,16603
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,GUAVIARE,623,20522
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,HUILA,10560,256389
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,LAGUAJIRA,6996,132627
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,MAGDALENA,9469,210242
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,META,7027,164994
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,NARINO,20132,330115
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,NORTEDESANTANDER,19261,227884
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,PUTUMAYO,6580,107826
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,QUINDIO,8583,76812
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,RISARALDA,13313,110026
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,SANTANDER,55445,405174
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,SUCRE,9558,213560
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,TOLIMA,24882,316808
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,VALLEDELCAUCA,58181,300228
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,VAUPES,678,12406
2010,Presidencia1eravuelta,PARTIDOLIBERALCOLOMBIANO,RAFAELPARDO,VICHADA,595,25392
2010,Presidencia1eravuelta,PARTIDOSOCIALDEUNIDADNACIONAL,JUANMANUELSANTOS,AMAZONAS,5751,14423
2010,Presidencia1eravuelta,PARTIDOSOCIALDEUNIDADNACIONAL,JUANMANUELSANTOS,ANTIOQUIA,860424,992439
2010,Presidencia1eravuelta,PARTIDOSOCIALDEUNIDADNACIONAL,JUANMANUELSANTOS,ARAUCA,33202,48663
2010,Presidencia1eravuelta,PARTIDOSOCIALDEUNIDADNACIONAL,JUANMANUELSANTOS,ARCHIPIELAGODESANANDRES,6313,19695
2010,Presidencia1eravuelta,PARTIDOSOCIALDEUNIDADNACIONAL,JUANMANUELSANTOS,ATLANTICO,190425,226690
2010,Presidencia1eravuelta,PARTIDOSOCIALDEUNIDADNACIONAL,JUANMANUELSANTOS,BOGOTA,1134188,35871
2010,Presidencia1eravuelta,PARTIDOSOCIALDEUNIDADNACIONAL,JUANMANUELSANTOS,BOLIVAR,277405,307993
2010,Presidencia1eravuelta,PARTIDOSOCIALDEUNIDADNACIONAL,JUANMANUELSANTOS,BOYACA,246019,505266
2010,Presidencia1eravuelta,PARTIDOSOCIALDEUNIDADNACIONAL,JUANMANUELSANTOS,CALDAS,173539,228691
2010,Presidencia1eravuelta,PARTIDOSOCIALDEUNIDADNACIONAL,JUANMANUELSANTOS,CAQUETA,53360,128047
2010,Presidencia1eravuelta,PARTIDOSOCIALDEUNIDADNACIONAL,JUANMANUELSANTOS,CASANARE,96767,112088
